Date,Open,High,Low,Close,Volume,Adj Close
2023-01-02,150.0,152.0,149.0,151.0,1000000,151.0
2023-01-03,151.0,153.0,150.0,152.0,1100000,152.0
2023-01-04,152.0,154.0,151.0,153.0,1200000,153.0
2023-01-05,153.0,155.0,152.0,154.0,1300000,154.0
2023-01-06,154.0,156.0,153.0,155.0,1400000,155.0
2023-01-09,155.0,157.0,154.0,156.0,1500000,156.0
2023-01-10,156.0,158.0,155.0,157.0,1600000,157.0
2023-01-11,157.0,159.0,156.0,158.0,1700000,158.0
2023-01-12,158.0,160.0,157.0,159.0,1800000,159.0
2023-01-13,159.0,161.0,158.0,160.0,1900000,160.0
2023-01-16,160.0,162.0,159.0,161.0,2000000,161.0
2023-01-17,161.0,163.0,160.0,162.0,2100000,162.0
2023-01-18,162.0,164.0,161.0,163.0,2200000,163.0
2023-01-19,163.0,165.0,162.0,164.0,2300000,164.0
2023-01-20,164.0,166.0,163.0,165.0,2400000,165.0
